name,par_rank,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top1pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Averett University,0.544069998,0.093539667,0.127280772,0.252338513,0.310781665,0.216059382,0.098804937,0.008147087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avila University,0.635059011,0.074666815,0.09957575,0.192508445,0.34217863,0.291070361,0.165434183,0.014952013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azusa Pacific University,0.706601575,0.150868038,0.134221477,0.142134341,0.217219232,0.355556912,0.1762308,0.012462816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babson College,0.776467322,0.084778259,0.054871148,0.036937899,0.084730123,0.73868257,0.612959399,0.177730134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bainbridge State College,0.369110243,0.151331628,0.277934993,0.280602995,0.188392917,0.101737467,0.020138423,0.002332075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker College,0.495290803,0.173701447,0.256679538,0.275740267,0.189854511,0.104024237,0.034431822,0.001006669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker University,0.681067719,0.101547629,0.108967542,0.14743494,0.279771577,0.362278313,0.202441894,0.013763993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin Wallace University,0.656309962,0.080675854,0.108150478,0.156197099,0.297773937,0.357202632,0.173871333,0.015746547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball State University,0.6769271,0.090817869,0.120930204,0.200748457,0.328309115,0.259194356,0.115248295,0.008853795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore School Of Massage,0.572506964,0.214692101,0.269027629,0.278081038,0.196233622,0.041965609,0.008129148,0.0007066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baptist Bible College,0.487469039,0.157288961,0.214446285,0.210754878,0.26189324,0.155616636,0.060681276,0.004088828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baptist Bible College Of Pennsylvania,0.567324802,0.23632354,0.208517944,0.221367529,0.201611394,0.132179593,0.040521504,0.001972747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard College,0.721591618,0.148668956,0.21420225,0.169667101,0.200939036,0.266522657,0.125908429,0.013353713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnard College,0.763227488,0.127063507,0.09897841,0.105960907,0.158234287,0.509762889,0.322905449,0.067330687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry University,0.555993412,0.131964707,0.139283718,0.17159249,0.295616255,0.26154283,0.122042907,0.011038094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barstow Community College,0.470688752,0.19261259,0.198083459,0.176976193,0.239614289,0.192713469,0.084732287,0.002829082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barton College,0.644657251,0.091260775,0.113872065,0.215599001,0.375151839,0.204116319,0.086842764,0.00061525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barton County Community College,0.449971317,0.137329008,0.179145945,0.239515019,0.276294652,0.167715375,0.063982455,0.001000268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bates College,0.836843799,0.076321575,0.086994154,0.114871346,0.223473709,0.498339216,0.318211368,0.070174348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bates Technical College,0.530376394,0.175511072,0.197551504,0.184299334,0.205629519,0.23700857,0.108867073,0.000947733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay De Noc Community College,0.513802915,0.107595462,0.249714968,0.268877774,0.21725259,0.156559207,0.057721335,0.001903482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Path College,0.607519563,0.112311086,0.157462594,0.217962117,0.258041461,0.254222743,0.088375828,0.000110304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay State College,0.48705769,0.205782275,0.194889606,0.234063702,0.238803659,0.126460758,0.033505564,0.000734021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor University,0.764612909,0.133941303,0.105000542,0.104592609,0.21424874,0.442216806,0.289759003,0.050288548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Community College,0.40937749,0.177671688,0.253866758,0.265456707,0.195654197,0.10735065,0.032709944,0.000357136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becker College,0.57626758,0.124475714,0.15207235,0.27029311,0.261752075,0.191406751,0.059346371,0.001741868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel - Rea Institute Of Animal Technology,0.588072384,0.157136524,0.205341104,0.265948323,0.318630975,0.052943075,0.01702387,0.000451979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belhaven University,0.588491823,0.13574177,0.195821366,0.217847416,0.275823648,0.174765799,0.089694982,0.012978719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellarmine University,0.69647707,0.084942329,0.083915156,0.144660183,0.304883692,0.381598641,0.184913923,0.015245063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
