name,Mean Parental Income,Median Parental Income,Mean Child Earnings,Median Child Earnings,Mean Kid Earnings (non-zero)
Carroll College,127585.1378,89700,52857.79902,47800,50400
Carroll Community College,98088.8422,92100,38538.3528,35900,39700
Carroll University,127266.4539,95000,46922.86692,43300,46200
Carson - Newman University,104330.286,79100,41189.1774,36300,39600
Carteret Community College,64074.68568,50300,23227.05989,19700,25600
Carthage College,137183.9094,101600,53418.61978,47500,49200
Cascadia Community College,128951.5746,97300,40205.33381,38000,43000
Case Western Reserve University,166132.0251,118200,87192.37208,73400,77500
Casper College,81143.84787,68000,43216.14077,36200,41700
Catawba College,109748.8193,94000,43134.38646,42000,43500
Catawba Valley Community College,72115.67584,63800,28444.22918,26600,29800
Catholic University Of America ,187760.4099,133000,64459.28694,57700,61100
Cayuga Community College - SUNY Office Of Community College,69391.90452,64300,31976.74154,28600,31900
Cazenovia College,95134.14936,64200,33215.49753,28800,31700
Cecil College,80102.8342,76500,37274.21268,33000,37900
Cedarville University,137350.9576,99500,44635.93379,37600,44400
Centenary College,128253.9997,94300,40517.66445,35200,39600
Centenary College Of Louisiana,152373.3074,100300,63128.95902,45400,48600
Center For Employment Training,39084.00937,29300,21629.488,16300,18800
Central Arizona College,65594.20756,53400,42267.24929,27200,32600
Central Carolina Community College,63738.59621,57000,26637.77341,24800,29000
Central Carolina Technical College,51362.61869,40600,26084.97423,22300,26600
Central College,110612.775,87700,51157.23162,44200,46600
Central Community College,62759.31933,56600,31472.82817,29300,31900
Central Connecticut State University,104581.3845,93300,48401.62635,46600,49000
Central Georgia Technical College,47888.52402,33600,21859.23554,17900,19500
Central Methodist University,77169.68938,66000,40218.2867,36200,38100
Central Michigan University,112044.4632,98300,46949.26665,42400,44600
Central New Mexico Community College,66972.26994,54500,27236.89136,23300,29400
Central Ohio Technical College,66213.68552,62200,31862.72624,30500,34200
Central Oregon Community College,97126.77408,68200,30666.07222,26500,31300
Central Penn College,72336.46977,66800,29658.98136,28000,30800
Central Piedmont Community College,92559.54673,71200,29113.51245,26700,31000
Central State University,52515.042,40300,26282.73169,25200,27800
Central Texas College District,61043.82604,51800,38496.51492,37200,40900
Central Virginia Community College,78032.30586,68600,31931.28289,29200,32400
Central Washington University,115641.1131,97100,47688.64033,45000,48400
Central Wyoming College,67205.53057,52100,32072.37253,26000,31700
Centralia College,79800.97636,66300,31753.09265,29300,35300
Centre College Of Kentucky,192429.8266,111000,65580.23924,49400,53400
Cerritos Community College,56123.49818,45500,32951.94418,30200,35300
Certain Colorado Community Colleges,89405.63749,70800,31724.91004,27900,33000
Chabot-Las Positas Community College District,101121.464,84000,40258.29424,35200,40700
Chadron State College,72584.39897,68100,44111.40316,38600,41800
Chaffey Community College,76332.50965,66300,31579.25653,27700,34100
Chaminade University Of Honolulu,79499.56704,66600,39511.06452,38100,43100
Champlain College,124026.1553,85200,44674.17042,39200,40100
Chapman University,233063.9002,109600,55754.45067,47900,53000
Charles Stewart Mott Community College,83086.51094,78800,28631.15391,24500,28800
Charleston Southern University,88515.8114,70500,44515.94204,36900,39200
Chatham University,98628.7274,71200,36960.60619,31800,39100
Chattahoochee Technical College,84297.88367,70800,27595.15032,24100,29200
Chattahoochee Valley Community College,62115.03807,48300,28790.54927,27400,31600
Chattanooga State Community College,75404.91449,61800,30173.1144,25600,30600
Chemeketa Community College,75356.92375,66100,31411.10472,27600,32800
Chesapeake College,72342.70171,65500,33186.12488,31000,35000
Chestnut Hill College,85882.1345,76600,44728.20218,38900,46200
Cheyney University Of Pennsylvania,49417.09597,38600,29439.46413,26500,30900
Chicago State University,51843.76085,43700,34210.66294,31900,35000
Chipola College,63056.56213,51800,32883.9235,32000,33700
Chippewa Valley Technical College,74736.92418,66900,35876.44715,32400,35000
Christian Brothers University,144483.7004,97600,60216.39867,52000,53700
Christopher Newport University,101743.3676,92500,44449.80898,41300,44000
Cincinnati Christian University,101239.9505,74400,34284.15238,30100,31900
Cincinnati State Technical & Community College,76086.0012,68800,33154.04605,30800,33600
Cisco College,61954.15924,53600,33100.42719,29600,33800
"Citadel, The Military College Of South Carolina",146210.8855,106800,66741.61343,62800,65400
Citrus Community College,77666.00098,66500,33443.44549,28100,34200
City College Of New York - CUNY,54008.8998,35500,60889.66356,48500,53200
City Colleges Of Chicago,52773.57457,39400,29001.77349,25300,29400
Clackamas Community College,84703.94166,73400,33198.34609,29100,34300
Claflin University,47542.24047,35400,35382.12087,33600,33700
Claremont Mckenna College,335092.9724,142000,98125.4208,69900,75700
Clarendon College,59815.49644,50800,32227.90113,28300,34400
Clarion University Of Pennsylvania,84457.06468,75500,40257.02587,38100,40600
Clark Atlanta University,74033.14395,54500,38619.23091,35200,38900
Clark College,93273.28773,82100,34301.16241,30100,36200
Clark State Community College,71638.21039,66100,30334.16438,27200,30700
Clark University,176605.0442,103000,54148.01217,49600,52900
Clarke University,95361.00181,75700,47175.1998,45100,45100
Clarkson University,121016.7813,94600,77578.30432,73300,76100
Clatsop Community College,67825.03651,59000,29630.0813,22500,28900
Clayton State University,85736.66754,77600,37893.74332,35000,38500
Clearwater Christian College,108308.4283,64300,41444.09043,41500,43400
Clemson University,167040.6807,120200,62756.05671,52300,56100
Cleveland Community College,60836.8195,49600,25469.8309,23700,28000
Cleveland Institute Of Dental - Medical Assistants,45757.71314,42600,17892.59658,14900,19800
Cleveland State Community College,68400.9173,64700,29469.68652,27000,30100
Cleveland State University,83517.16677,72700,40609.1226,37000,40000
Clinton Community College - SUNY Office Of Community Colleges,72551.91743,62800,32855.33665,29300,33800
Cloud County Community College,60092.88569,54200,30995.8654,27400,29700
Clover Park Technical College,72370.83723,65300,28435.03789,24200,30800
Clovis Community College,53957.48672,44300,30555.89812,26600,31200
Coast Community College District,101057.1973,72800,36782.17606,30600,38000
Coastal Carolina Community College,66498.19622,56700,32274.35346,28000,32900
Coastal Carolina University,120509.9386,91500,42996.39496,37800,40600
Cochise College,60835.64143,51600,33305.64043,28400,34600
Coconino County Community College,85217.23153,68500,30081.08003,25000,30800
Coe College,138284.5292,90600,55845.17176,48500,50300
Coffeyville Community College,52326.55963,40700,107965.8201,24100,25500
Coker College,78650.54518,59000,36753.1829,34600,35300
Colby College,418072.8775,208700,81791.60644,59200,63900
Colby Community College,63084.84336,57600,36567.61061,33200,34600
Colby-Sawyer College,170401.6362,99400,47579.76957,41900,43400
Colgate University,522975.6131,208900,103263.2929,71500,76100
College For Creative Studies,145763.063,98300,47902.48003,43600,46900
College Of Central Florida,70597.18126,54100,30638.69311,27100,31800
College Of Charleston,208335.5537,119500,49113.89119,39900,43900
